Measure,region_from,region_to,Measure_Type,value,Base_Region
ce_kozachenko,lateraloccipital,bankssts,Bivariate,1.4389925899978784,
cce_kozachenko,lateraloccipital,bankssts,Bivariate,4.444951550990444,
entropy_kozachenko,transversetemporal,transversetemporal,Univariate,1.429055726146629,transversetemporal
AIS_kraskov,transversetemporal,transversetemporal,Univariate,0.12289462639180648,transversetemporal
je_kozachenko,lateraloccipital,transversetemporal,Bivariate,2.868192430394609,
si_kozachenko_k-1,lateraloccipital,transversetemporal,Bivariate,-0.06338976666892338,
mi_kraskov_NN-4,lateraloccipital,transversetemporal,Bivariate,-0.015073769160071748,
tlmi_kraskov_NN-4,lateraloccipital,transversetemporal,Bivariate,-0.009234151791016387,
di_kozachenko,lateraloccipital,transversetemporal,Bivariate,2.300012653968528,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,transversetemporal,Bivariate,0.00012371715844823212,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,transversetemporal,Bivariate,0.009321401793224826,
ce_kozachenko,lateraloccipital,transversetemporal,Bivariate,1.4595432922238776,
cce_kozachenko,lateraloccipital,transversetemporal,Bivariate,4.445753031694522,
entropy_kozachenko,rostralanteriorcingulate,rostralanteriorcingulate,Univariate,1.4001470894682582,rostralanteriorcingulate
AIS_kraskov,rostralanteriorcingulate,rostralanteriorcingulate,Univariate,0.11434393369638585,rostralanteriorcingulate
je_kozachenko,lateraloccipital,rostralanteriorcingulate,Bivariate,2.8316444770465785,
si_kozachenko_k-1,lateraloccipital,rostralanteriorcingulate,Bivariate,-0.007463018796189491,
mi_kraskov_NN-4,lateraloccipital,rostralanteriorcingulate,Bivariate,-0.00013639405336896004,
tlmi_kraskov_NN-4,lateraloccipital,rostralanteriorcingulate,Bivariate,-0.0018738339510520063,
di_kozachenko,lateraloccipital,rostralanteriorcingulate,Bivariate,2.2467879186444346,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralanteriorcingulate,Bivariate,0.0005688225357745085,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,rostralanteriorcingulate,Bivariate,-0.011159429756708139,
ce_kozachenko,lateraloccipital,rostralanteriorcingulate,Bivariate,1.423119519745486,
cce_kozachenko,lateraloccipital,rostralanteriorcingulate,Bivariate,4.465877084081738,
