Region_Index,Measure_Type,Measure,Value,Subject_ID,Run_Number,Region
55,Univariate,AIS,0.4803230982097233,100610,0,7networks_LH_Limbic_OFC_3
56,Univariate,Entropy,1.3992710429070376,100610,0,7networks_LH_Limbic_OFC_4
56,Univariate,AIS,0.6773143964701038,100610,0,7networks_LH_Limbic_OFC_4
57,Univariate,Entropy,1.3283427106613201,100610,0,7networks_LH_Limbic_PHC
57,Univariate,AIS,0.10491151000668708,100610,0,7networks_LH_Limbic_PHC
58,Univariate,Entropy,1.4411628344179324,100610,0,7networks_LH_Limbic_ST
58,Univariate,AIS,0.01607423934330754,100610,0,7networks_LH_Limbic_ST
59,Univariate,Entropy,1.382834326378056,100610,0,7networks_LH_Limbic_TempPole_1
59,Univariate,AIS,0.04881384200136463,100610,0,7networks_LH_Limbic_TempPole_1
60,Univariate,Entropy,1.4540156028945344,100610,0,7networks_LH_Limbic_TempPole_2
60,Univariate,AIS,0.04931316555360965,100610,0,7networks_LH_Limbic_TempPole_2
61,Univariate,Entropy,1.3982836424841611,100610,0,7networks_LH_Limbic_Temp_1
61,Univariate,AIS,0.019090959272853425,100610,0,7networks_LH_Limbic_Temp_1
62,Univariate,Entropy,1.3555802541156137,100610,0,7networks_LH_Limbic_Temp_2
62,Univariate,AIS,0.205386851988699,100610,0,7networks_LH_Limbic_Temp_2
63,Univariate,Entropy,1.4679685118747736,100610,0,7networks_LH_SalVentAttn_FrMed_1
63,Univariate,AIS,0.3808504602880154,100610,0,7networks_LH_SalVentAttn_FrMed_1
64,Univariate,Entropy,1.439745233662304,100610,0,7networks_LH_SalVentAttn_FrMed_2
64,Univariate,AIS,-0.013109000675717297,100610,0,7networks_LH_SalVentAttn_FrMed_2
65,Univariate,Entropy,1.4181699224204145,100610,0,7networks_LH_SalVentAttn_FrMed_3
65,Univariate,AIS,0.010838577767605884,100610,0,7networks_LH_SalVentAttn_FrMed_3
66,Univariate,Entropy,1.4406069743093513,100610,0,7networks_LH_SalVentAttn_FrOper
66,Univariate,AIS,0.11820246275179258,100610,0,7networks_LH_SalVentAttn_FrOper
67,Univariate,Entropy,1.439249793324512,100610,0,7networks_LH_SalVentAttn_IPL_1
67,Univariate,AIS,0.03922446520341438,100610,0,7networks_LH_SalVentAttn_IPL_1
68,Univariate,Entropy,1.409691584348666,100610,0,7networks_LH_SalVentAttn_IPL_2
68,Univariate,AIS,0.2775989333265034,100610,0,7networks_LH_SalVentAttn_IPL_2
69,Univariate,Entropy,1.3765089433719906,100610,0,7networks_LH_SalVentAttn_Ins_1
69,Univariate,AIS,0.2157195054470451,100610,0,7networks_LH_SalVentAttn_Ins_1
70,Univariate,Entropy,1.4310579489447726,100610,0,7networks_LH_SalVentAttn_Ins_2
70,Univariate,AIS,0.08278960488235487,100610,0,7networks_LH_SalVentAttn_Ins_2
71,Univariate,Entropy,1.3691987014344198,100610,0,7networks_LH_SalVentAttn_Ins_3
71,Univariate,AIS,0.5919067261423292,100610,0,7networks_LH_SalVentAttn_Ins_3
72,Univariate,Entropy,1.42686754545469,100610,0,7networks_LH_SalVentAttn_Ins_4
72,Univariate,AIS,0.3481838845721956,100610,0,7networks_LH_SalVentAttn_Ins_4
73,Univariate,Entropy,1.5178594189616526,100610,0,7networks_LH_SalVentAttn_Ins_5
73,Univariate,AIS,0.315156325072695,100610,0,7networks_LH_SalVentAttn_Ins_5
74,Univariate,Entropy,1.412360091680581,100610,0,7networks_LH_SalVentAttn_Ins_6
74,Univariate,AIS,0.3913868141252763,100610,0,7networks_LH_SalVentAttn_Ins_6
